lig_node,rxn_node,common_neighbor,jaccard_coefficient,preferential_attachment
463,NB-CH2OH-ethylene,0,0.0,3
445,ethylene-isobornyl acrylate,2,1.0,1
355,R-BOH2-R-Br,4,0.19047619047619047,54
259,allyl pivalate-ethylene,3,1.0,2
466,CH2CH(CH2)4Br-norbonene,0,0.0,3
182,"5-norbonene-2,3-dicarboxylic anhydride-ethylene",2,1.0,1
005,R-Br-R-SH,0,0.0,4
369,CH2CH(CH2)4Br-norbonene,0,0.0,15
261,1-butene-none,3,1.0,2
321,CH2CH(CH2)9Cl-ethylene,0,0.0,2
073,ethylene-norbonene,13,0.4642857142857143,27
293,ethylene-vinyl trimethoxysilane,9,1.0,8
043,allyl methyl ether-ethylene,0,0.0,1
351,allyl acetate-ethylene,23,0.9583333333333334,23
452,CH2CH(CH2)4Br-norbonene,0,0.0,3
033,CH2CH(CH2)9OH-norbonene,0,0.0,3
120,methyl acrylate-propylene,3,0.75,3
056,allyl ethyl ether-ethylene,0,0.0,3
093,allyl acetate-ethylene,23,0.9583333333333334,23
282,none-norbonene,7,0.5384615384615384,30
059,allyl cyanide-propylene,0,0.0,2
402,ethylene-methyl vinyl ketone,4,0.8,4
054,allyl cyanide-propylene,0,0.0,2
036,ethylene-norbonene,0,0.0,27
323,DMAA-ethylene,0,0.0,4
453,5-norbornene-2-yl acetate-ethylene,8,1.0,7
423,ethylene-norbonene,0,0.0,27
107,2-vinylfuran-ethylene,6,0.75,12
221,allyl acetate-propylene,3,0.75,3
383,R-Br-R-SH,0,0.0,4
115,C-H-R-Br,0,0.0,1
430,allyl butyl ether-ethylene,4,1.0,3
229,ethylene-norbonene,13,0.4642857142857143,27
218,NB-CH2OH-ethylene,5,0.7142857142857143,12
319,FOA-ethylene,3,1.0,2
270,ethylene-methyl 10-undecenoate,24,0.9230769230769231,105
158,CH2CH(CH2)9OH-norbonene,0,0.0,3
199,allyl acetate-norbonene,0,0.0,3
018,1-butene-none,0,0.0,2
378,ethylene-ethylene glycol monoacrylate,5,1.0,6
256,CH2CH(CH2)4OH-norbonene,0,0.0,9
417,methyl acrylate-propylene,0,0.0,3
115,CH2CH(CH2)4OAc-ethylene,2,1.0,1
350,H2-oct-1-ene,0,0.0,24
386,H2-oct-1-ene,0,0.0,6
276,ethylene-styrene,4,1.0,4
467,"5-norbonene-2,3-dicarboxylic anhydride-ethylene",0,0.0,1
287,allyl pivalate-propylene,3,1.0,2
340,"5-norbonene-2,3-dicarboxylic anhydride-ethylene",2,1.0,1
244,CH2CH(CH2)8COOH-ethylene,11,1.0,24
043,dodecyl acrylate-ethylene,0,0.0,1
423,allyl ethyl ether-norbonene,0,0.0,3
152,CH2CH(CH2)4OH-norbonene,0,0.0,3
400,allyl acetate-propylene,4,0.5714285714285714,12
278,R-BOH2-R-Br,2,0.10526315789473684,18
327,ethylene-vinyl triethoxysilane,0,0.0,1
107,PhI-norbonene,0,0.0,6
207,allyl pivalate-propylene,3,1.0,2
404,ethylene-tert-butyl acrylate,7,0.4117647058823529,16
280,ethylene-tert-butyl vinyl ether,2,1.0,1
428,allyl butyl ether-ethylene,0,0.0,3
275,2-vinylfuran-ethylene,5,0.7142857142857143,6
217,none-norbonene,6,0.5454545454545454,10
410,methyl acrylate-norbonene,0,0.0,5
043,5-hexene-1-yl-acetate-ethylene,0,0.0,3
120,CH2CH(CH2)9OH-norbonene,0,0.0,3
403,4-penten-1-ol-ethylene,2,0.4,4
018,ethylene-methyl acrylate,0,0.0,110
435,none-norbonene,0,0.0,10
106,ethylene-vinyl chloride,6,0.8571428571428571,10
122,ethylene-vinyl chloride,12,0.5714285714285714,80
460,methyl acrylate-propylene,0,0.0,3
043,ethylene-n-butyl vinyl ether,0,0.0,2
347,ethylene-none,102,0.3269230769230769,311
175,none-norbonene,6,0.5454545454545454,10
043,NB-CH2OH-ethylene,0,0.0,3
242,R-BOH2-R-OH,0,0.0,36
013,allyl trimethoxysilane-ethylene,0,0.0,2
014,ethylene-methyl acrylate,0,0.0,110
414,2-vinylfuran-ethylene,0,0.0,6
096,allyl acetate-propylene,3,0.375,15
309,FOA-ethylene,5,0.5555555555555556,14
161,6FA-ethylene,4,1.0,3
046,ethylene-vinyl trimethoxysilane,0,0.0,8
200,allyl acetate-ethylene,23,0.9583333333333334,23
367,Aryl halide-Phenylboronic acid,0,0.0,10
331,C-H-R-Br,0,0.0,2
310,ethylene-styrene,0,0.0,10
246,allyl cyanide-propylene,0,0.0,4
301,ethyl vinyl ether-ethylene,3,1.0,2
443,1-butene-none,5,1.0,6
157,CH2CH(CH2)4OAc-ethylene,2,1.0,1
307,R-BOH2-R-OH,0,0.0,24
344,H2-oct-1-ene,0,0.0,12
019,methyl acrylate-norbonene,0,0.0,5
275,PhI-norbonene,0,0.0,3
388,methyl acrylate-norbonene,6,1.0,5
202,ethyl vinyl ether-ethylene,3,1.0,2
415,DMAA-ethylene,0,0.0,4
354,methyl 10-undecenoate-norbonene,0,0.0,3
465,CH2CH(CH2)4OH-norbonene,0,0.0,3
417,CH2CH(CH2)9OH-norbonene,0,0.0,3
139,ethyl acrylate-ethylene,2,0.6666666666666666,2
245,methyl acrylate-propylene,3,0.42857142857142855,12
161,ethylene-tert-butyl-10-undecenoate,2,1.0,1
097,ethyl acrylate-ethylene,0,0.0,5
421,allyl butyl ether-ethylene,0,0.0,6
133,allyl cyanide-ethylene,3,0.5,8
