d_node,t_node,common_neighbor,jaccard_coefficient,preferential_attachment,common_neighbor_cluster,number of d in cluster,jaccard_coefficient_cluster,degree_d_cluster,degree_t,preferential_attachment_cluster
085,ethylene-vinyl chloride,4,0.5,16,1,2,0.5,46,4,184
234,ethylene-vinyl chloride,4,0.8,4,1,2,0.5,51,4,204
035,ethylene-vinyl chloride,0,0.0,0,0,2,0.0,44,4,176
163,ethylene-vinyl chloride,5,0.5555555555555556,20,1,2,0.5,46,4,184
188,ethylene-vinyl chloride,0,0.0,4,1,2,0.5,27,4,108
127,ethylene-vinyl chloride,4,0.8,4,0,2,0.0,44,4,176
248,ethylene-vinyl chloride,5,0.625,16,0,2,0.0,44,4,176
240,ethylene-vinyl chloride,0,0.0,24,2,2,1.0,53,4,212
173,ethylene-vinyl chloride,4,0.8,4,2,2,1.0,53,4,212
266,ethylene-vinyl chloride,7,0.7777777777777778,20,0,2,0.0,44,4,176
293,ethylene-vinyl chloride,0,0.0,0,1,2,0.5,51,4,204
435,ethylene-vinyl chloride,0,0.0,4,0,2,0.0,44,4,176
468,ethylene-vinyl chloride,3,0.6,4,1,2,0.5,27,4,108
208,ethylene-vinyl chloride,4,0.8,4,2,2,1.0,53,4,212
236,ethylene-vinyl chloride,4,0.8,4,0,2,0.0,44,4,176
057,ethylene-vinyl chloride,0,0.0,4,1,2,0.5,46,4,184
282,ethylene-vinyl chloride,3,0.5,8,0,2,0.0,44,4,176
238,ethylene-vinyl chloride,4,0.6666666666666666,8,2,2,1.0,53,4,212
391,ethylene-vinyl chloride,4,0.8,4,0,2,0.0,44,4,176
368,ethylene-vinyl chloride,0,0.0,8,1,2,0.5,51,4,204
334,ethylene-vinyl chloride,4,0.8,4,1,2,0.5,46,4,184
364,ethylene-vinyl chloride,5,0.8333333333333334,8,1,2,0.5,46,4,184
198,ethylene-vinyl chloride,2,0.2857142857142857,12,1,2,0.5,27,4,108
281,ethylene-vinyl chloride,7,0.5833333333333334,32,0,2,0.0,44,4,176
094,ethylene-vinyl chloride,0,0.0,4,0,2,0.0,44,4,176
099,ethylene-vinyl chloride,5,0.45454545454545453,28,2,2,1.0,53,4,212
211,ethylene-vinyl chloride,4,0.8,4,2,2,1.0,53,4,212
177,ethylene-vinyl chloride,4,0.8,4,2,2,1.0,53,4,212
267,ethylene-vinyl chloride,4,0.4444444444444444,20,1,2,0.5,51,4,204
304,ethylene-vinyl chloride,4,0.8,4,1,2,0.5,46,4,184
054,ethylene-vinyl chloride,0,0.0,4,1,2,0.5,46,4,184
122,ethylene-vinyl chloride,9,0.5,56,2,2,1.0,53,4,212
071,ethylene-vinyl chloride,0,0.0,4,1,2,0.5,27,4,108
348,ethylene-vinyl chloride,5,0.8333333333333334,8,2,2,1.0,53,4,212
439,ethylene-vinyl chloride,5,0.8333333333333334,8,1,2,0.5,27,4,108
331,ethylene-vinyl chloride,5,0.8333333333333334,8,1,2,0.5,46,4,184
406,ethylene-vinyl chloride,4,0.8,4,1,2,0.5,51,4,204
403,ethylene-vinyl chloride,6,0.8571428571428571,12,1,2,0.5,46,4,184
253,ethylene-vinyl chloride,5,0.8333333333333334,8,0,2,0.0,44,4,176
